distance_cm,timestamp_ms
69.0,1785100089478.462
74.0,1785100089479.135
77.0,1785100089494.7341
77.0,1785100089514.58
74.0,1785100089541.397
77.0,1785100089565.211
71.0,1785100089581.139
73.0,1785100089604.896
70.0,1785100089621.0188
64.0,1785100089644.8489
59.0,1785100089661.278
61.0,1785100089685.203
56.0,1785100089701.6199
61.0,1785100089725.571
54.0,1785100089741.8728
47.0,1785100089755.2798
53.0,1785100089782.1929
52.0,1785100089795.468
47.0,1785100089825.126
44.0,1785100089841.5981
48.0,1785100089865.582
45.0,1785100089882.077
42.0,1785100089895.3398
40.0,1785100089925.213
39.0,1785100089941.619
38.0,1785100089965.652
35.0,1785100089981.995
32.0,1785100089995.41
30.0,1785100090022.343
30.0,1785100090035.6272
31.0,1785100090065.534
28.0,1785100090081.48
27.0,1785100090105.181
25.0,1785100090121.135
26.0,1785100090142.085
27.0,1785100090155.384
27.0,1785100090182.2668
24.0,1785100090195.497
24.0,1785100090222.266
29.0,1785100090235.5562
27.0,1785100090262.2012
27.0,1785100090275.403
29.0,1785100090301.842
30.0,1785100090325.4368
27.0,1785100090341.128
30.0,1785100090361.978
29.0,1785100090385.5942
31.0,1785100090401.226
30.0,1785100090422.144
30.0,1785100090435.19
31.0,1785100090461.962
27.0,1785100090475.221
31.0,1785100090501.6738
27.0,1785100090525.3088
25.0,1785100090541.154
29.0,1785100090561.9453
27.0,1785100090575.238
29.0,1785100090601.3179
27.0,1785100090622.0479
29.0,1785100090635.2793
28.0,1785100090661.324
27.0,1785100090682.2168
24.0,1785100090695.3809
27.0,1785100090721.4202
30.0,1785100090742.1538
28.0,1785100090755.417
31.0,1785100090781.517
31.0,1785100090802.309
26.0,1785100090815.573
29.0,1785100090841.5251
28.0,1785100090862.349
31.0,1785100090875.545
27.0,1785100090902.003
30.0,1785100090915.2908
24.0,1785100090941.8398
27.0,1785100090965.712
30.0,1785100090981.7888
28.0,1785100091005.4631
30.0,1785100091021.649
32.0,1785100091045.465
29.0,1785100091061.3691
31.0,1785100091082.3281
33.0,1785100091095.602
30.0,1785100091122.2852
32.0,1785100091135.621
33.0,1785100091161.956
