distance_cm,timestamp_ms
69.0,1785112118675.0942
69.0,1785112118697.9468
78.0,1785112118741.587
81.0,1785112118781.676
77.0,1785112118822.073
112.0,1785112118865.2139
101.0,1785112118905.66
62.0,1785112118941.118
54.0,1785112118981.686
57.0,1785112119021.7358
48.0,1785112119062.019
38.0,1785112119102.426
39.0,1785112119146.158
37.0,1785112119186.3281
37.0,1785112119221.635
38.0,1785112119266.239
27.0,1785112119302.6208
37.0,1785112119342.5542
37.0,1785112119382.1519
39.0,1785112119421.856
26.0,1785112119461.8828
54.0,1785112119506.3638
46.0,1785112119541.782
59.0,1785112119581.814
78.0,1785112119621.7432
89.0,1785112119662.087
49.0,1785112119702.38
50.0,1785112119741.857
53.0,1785112119782.4658
45.0,1785112119822.1829
17.0,1785112119861.892
21.0,1785112119901.647
31.0,1785112119941.501
66.0,1785112119982.056
63.0,1785112120022.165
46.0,1785112120061.898
58.0,1785112120101.682
53.0,1785112120145.893
57.0,1785112120182.553
62.0,1785112120221.879
59.0,1785112120261.821
63.0,1785112120303.0442
61.0,1785112120342.4521
56.0,1785112120382.453
62.0,1785112120422.1829
53.0,1785112120462.631
38.0,1785112120505.9941
77.0,1785112120546.144
82.0,1785112120585.982
84.0,1785112120622.8708
69.0,1785112120662.392
65.0,1785112120705.444
61.0,1785112120746.1992
51.0,1785112120782.725
61.0,1785112120822.26
68.0,1785112120861.928
63.0,1785112120901.8892
64.0,1785112120943.0188
55.0,1785112120982.1172
56.0,1785112121021.712
59.0,1785112121061.723
66.0,1785112121101.776
59.0,1785112121146.135
54.0,1785112121186.686
58.0,1785112121222.569
48.0,1785112121262.7412
43.0,1785112121302.129
43.0,1785112121342.2761
44.0,1785112121382.247
45.0,1785112121421.9038
44.0,1785112121461.739
44.0,1785112121506.666
53.0,1785112121542.7808
57.0,1785112121582.0588
54.0,1785112121621.988
