distance_cm,timestamp_ms
4.0,1785093563251.998
7.0,1785093563252.4622
8.0,1785093563263.4028
6.0,1785093563318.1829
7.0,1785093563328.588
6.0,1785093563352.246
8.0,1785093563398.8682
6.0,1785093563409.138
5.0,1785093563427.899
8.0,1785093563479.381
6.0,1785093563492.616
8.0,1785093563508.127
6.0,1785093563558.51
7.0,1785093563568.7092
8.0,1785093563588.986
4.0,1785093563638.905
4.0,1785093563649.2878
6.0,1785093563669.8281
9.0,1785093563719.681
7.0,1785093563732.765
8.0,1785093563748.227
8.0,1785093563779.336
9.0,1785093563859.279
6.0,1785093563878.3438
9.0,1785093563958.334
8.0,1785093563968.8462
7.0,1785093563989.522
6.0,1785093564038.947
6.0,1785093564049.201
3.0,1785093564069.601
8.0,1785093564119.116
8.0,1785093564129.502
8.0,1785093564149.7678
8.0,1785093564199.521
10.0,1785093564209.6262
8.0,1785093564228.332
8.0,1785093564279.778
8.0,1785093564289.797
6.0,1785093564308.0693
9.0,1785093564359.82
9.0,1785093564372.9
8.0,1785093564388.312
5.0,1785093564442.88
7.0,1785093564448.685
8.0,1785093564468.628
7.0,1785093564518.1328
7.0,1785093564528.472
6.0,1785093564549.0361
6.0,1785093564598.303
8.0,1785093564629.2742
6.0,1785093564678.5122
7.0,1785093564689.072
9.0,1785093564709.248
9.0,1785093564758.7788
10.0,1785093564769.1409
11.0,1785093564789.715
8.0,1785093564839.6318
7.0,1785093564849.7888
7.0,1785093564868.256
9.0,1785093564919.938
8.0,1785093564933.106
9.0,1785093564948.492
6.0,1785093565002.999
10.0,1785093565008.524
8.0,1785093565028.626
8.0,1785093565083.194
6.0,1785093565088.642
7.0,1785093565108.696
8.0,1785093565158.299
7.0,1785093565168.192
7.0,1785093565188.816
9.0,1785093565238.528
5.0,1785093565248.652
8.0,1785093565268.982
9.0,1785093565318.261
8.0,1785093565328.898
6.0,1785093565349.134
6.0,1785093565398.439
8.0,1785093565408.8042
1.0,1785093565429.468
8.0,1785093565478.992
6.0,1785093565489.076
7.0,1785093565509.572
5.0,1785093565559.361
8.0,1785093565569.164
5.0,1785093565592.962
5.0,1785093565639.7388
3.0,1785093565649.468
5.0,1785093565668.061
2.0,1785093565719.757
5.0,1785093565732.697
4.0,1785093565748.2542
6.0,1785093565799.8872
6.0,1785093565813.033
5.0,1785093565828.444
4.0,1785093565883.231
6.0,1785093565908.617
7.0,1785093565963.113
4.0,1785093565968.348
5.0,1785093565988.7568
3.0,1785093566038.126
3.0,1785093566048.327
0.0,1785093566068.916
4.0,1785093566118.316
5.0,1785093566128.718
2.0,1785093566149.1033
4.0,1785093566198.397
8.0,1785093566208.71
6.0,1785093566229.3508
1.0,1785093566278.348
4.0,1785093566288.554
6.0,1785093566309.304
3.0,1785093566358.889
7.0,1785093566369.133
4.0,1785093566389.4883
8.0,1785093566438.932
7.0,1785093566449.187
6.0,1785093566469.6619
6.0,1785093566519.385
5.0,1785093566529.471
3.0,1785093566552.844
7.0,1785093566599.896
8.0,1785093566613.1047
4.0,1785093566628.57
6.0,1785093566683.067
7.0,1785093566688.4968
8.0,1785093566708.572
10.0,1785093566763.253
6.0,1785093566768.9568
5.0,1785093566788.903
11.0,1785093566838.762
7.0,1785093566848.639
7.0,1785093566869.056
8.0,1785093566918.7908
7.0,1785093566928.997
7.0,1785093566949.418
9.0,1785093566998.961
8.0,1785093567009.0781
9.0,1785093567029.7668
8.0,1785093567079.6768
8.0,1785093567089.607
8.0,1785093567108.314
7.0,1785093567159.589
8.0,1785093567188.447
5.0,1785093567239.7002
8.0,1785093567249.865
9.0,1785093567268.5562
4.0,1785093567319.886
8.0,1785093567332.983
9.0,1785093567348.593
10.0,1785093567403.188
8.0,1785093567408.573
2.0,1785093567428.766
8.0,1785093567483.0022
7.0,1785093567488.3662
8.0,1785093567508.846
9.0,1785093567558.059
11.0,1785093567588.9333
3.0,1785093567638.8281
8.0,1785093567648.648
7.0,1785093567669.155
9.0,1785093567718.6072
7.0,1785093567728.941
7.0,1785093567749.2869
10.0,1785093567798.742
10.0,1785093567808.918
10.0,1785093567829.377
7.0,1785093567878.967
4.0,1785093567889.199
9.0,1785093567909.867
7.0,1785093567958.926
8.0,1785093567969.5771
8.0,1785093567993.1782
8.0,1785093568039.697
5.0,1785093568049.731
9.0,1785093568068.4521
7.0,1785093568119.715
8.0,1785093568130.028
9.0,1785093568148.222
7.0,1785093568199.879
8.0,1785093568213.0981
