distance_cm,timestamp_ms
61.0,1785107105119.411
57.0,1785107105120.081
58.0,1785107105132.267
59.0,1785107105152.3909
58.0,1785107105178.0547
61.0,1785107105198.802
59.0,1785107105217.508
62.0,1785107105238.2231
59.0,1785107105258.946
61.0,1785107105277.659
60.0,1785107105298.292
60.0,1785107105319.0679
58.0,1785107105338.002
65.0,1785107105358.52
62.0,1785107105379.4492
59.0,1785107105398.489
56.0,1785107105418.7388
61.0,1785107105439.559
59.0,1785107105452.954
61.0,1785107105478.861
57.0,1785107105502.474
56.0,1785107105518.1812
55.0,1785107105538.962
59.0,1785107105562.582
54.0,1785107105578.3623
60.0,1785107105598.9648
57.0,1785107105622.6758
55.0,1785107105638.3071
54.0,1785107105659.241
55.0,1785107105678.5989
58.0,1785107105699.2139
62.0,1785107105718.582
64.0,1785107105739.4668
62.0,1785107105758.74
72.0,1785107105782.502
79.0,1785107105799.273
74.0,1785107105818.676
73.0,1785107105842.437
77.0,1785107105858.9172
76.0,1785107105878.033
89.0,1785107105899.534
92.0,1785107105912.974
94.0,1785107105942.7969
97.0,1785107105959.403
104.0,1785107105972.928
106.0,1785107106002.634
109.0,1785107106019.41
115.0,1785107106032.859
129.0,1785107106062.5842
128.0,1785107106079.4812
128.0,1785107106092.972
136.0,1785107106118.28
115.0,1785107106143.4429
129.0,1785107106159.4539
130.0,1785107106178.657
123.0,1785107106202.806
122.0,1785107106222.2732
128.0,1785107106239.147
128.0,1785107106258.407
119.0,1785107106282.6199
114.0,1785107106299.646
113.0,1785107106312.9949
110.0,1785107106338.376
109.0,1785107106362.3638
109.0,1785107106378.9429
106.0,1785107106398.315
107.0,1785107106419.509
102.0,1785107106432.9119
105.0,1785107106462.567
128.0,1785107106479.4429
132.0,1785107106492.9011
129.0,1785107106518.4883
122.0,1785107106542.203
150.0,1785107106558.8381
186.0,1785107106582.678
178.0,1785107106599.082
147.0,1785107106618.3901
112.0,1785107106639.2378
126.0,1785107106658.494
120.0,1785107106682.2278
113.0,1785107106698.7861
127.0,1785107106722.8843
114.0,1785107106739.66
137.0,1785107106753.063
129.0,1785107106782.681
109.0,1785107106799.367
125.0,1785107106812.845
109.0,1785107106839.591
111.0,1785107106852.9868
131.0,1785107106882.382
103.0,1785107106898.907
124.0,1785107106918.2432
107.0,1785107106942.153
100.0,1785107106958.819
124.0,1785107106982.6792
129.0,1785107106999.2212
129.0,1785107107018.6418
136.0,1785107107039.451
141.0,1785107107052.9202
144.0,1785107107082.197
125.0,1785107107098.8008
109.0,1785107107122.71
122.0,1785107107139.522
125.0,1785107107158.851
104.0,1785107107182.7588
102.0,1785107107199.542
114.0,1785107107212.9973
107.0,1785107107242.518
107.0,1785107107258.6648
107.0,1785107107282.5698
113.0,1785107107299.1108
116.0,1785107107318.402
107.0,1785107107342.3738
93.0,1785107107359.159
94.0,1785107107378.437
115.0,1785107107399.409
111.0,1785107107412.91
118.0,1785107107439.6292
99.0,1785107107453.061
109.0,1785107107482.547
93.0,1785107107499.263
99.0,1785107107518.616
101.0,1785107107542.5059
104.0,1785107107559.0908
101.0,1785107107578.306
96.0,1785107107599.493
96.0,1785107107612.989
95.0,1785107107639.6128
101.0,1785107107653.228
103.0,1785107107682.579
100.0,1785107107699.313
101.0,1785107107712.7832
95.0,1785107107742.392
102.0,1785107107758.873
102.0,1785107107778.1702
110.0,1785107107799.166
115.0,1785107107818.5679
119.0,1785107107839.308
118.0,1785107107858.6409
120.0,1785107107879.395
111.0,1785107107892.895
112.0,1785107107919.456
102.0,1785107107932.904
96.0,1785107107962.5442
101.0,1785107107979.239
103.0,1785107107998.931
106.0,1785107108019.5479
100.0,1785107108032.887
102.0,1785107108059.5042
99.0,1785107108073.048
103.0,1785107108102.492
