distance_cm,timestamp_ms
42.0,1785102725356.6357
40.0,1785102725357.223
39.0,1785102725370.2432
40.0,1785102725390.071
41.0,1785102725416.332
39.0,1785102725440.629
41.0,1785102725455.622
42.0,1785102725476.485
42.0,1785102725500.172
44.0,1785102725515.844
43.0,1785102725536.646
46.0,1785102725560.3699
44.0,1785102725575.969
42.0,1785102725596.978
47.0,1785102725620.6028
47.0,1785102725636.232
47.0,1785102725657.0352
47.0,1785102725680.867
43.0,1785102725696.32
45.0,1785102725717.189
43.0,1785102725740.705
46.0,1785102725756.4148
47.0,1785102725777.107
46.0,1785102725796.063
49.0,1785102725816.581
46.0,1785102725837.2202
50.0,1785102725850.6492
51.0,1785102725876.4731
49.0,1785102725897.5151
49.0,1785102725910.6611
51.0,1785102725936.581
43.0,1785102725957.354
50.0,1785102725970.793
52.0,1785102725996.743
50.0,1785102726017.54
40.0,1785102726031.1182
49.0,1785102726056.755
51.0,1785102726077.5193
46.0,1785102726090.848
49.0,1785102726116.874
48.0,1785102726140.417
46.0,1785102726156.138
47.0,1785102726176.853
49.0,1785102726200.633
49.0,1785102726216.2249
53.0,1785102726236.9321
45.0,1785102726260.532
54.0,1785102726276.2517
56.0,1785102726297.063
49.0,1785102726320.672
50.0,1785102726336.315
52.0,1785102726357.11
50.0,1785102726380.884
53.0,1785102726396.4438
51.0,1785102726417.2102
49.0,1785102726436.065
54.0,1785102726456.5918
55.0,1785102726477.2083
53.0,1785102726490.656
53.0,1785102726516.66
50.0,1785102726537.17
52.0,1785102726550.788
53.0,1785102726576.596
52.0,1785102726597.55
54.0,1785102726610.7478
52.0,1785102726636.752
49.0,1785102726659.245
57.0,1785102726670.753
54.0,1785102726696.8289
53.0,1785102726720.4421
54.0,1785102726736.0762
53.0,1785102726756.865
51.0,1785102726780.4402
56.0,1785102726796.108
50.0,1785102726816.933
47.0,1785102726840.539
54.0,1785102726856.19
54.0,1785102726876.957
54.0,1785102726900.783
52.0,1785102726917.469
47.0,1785102726936.814
53.0,1785102726960.651
51.0,1785102726976.342
47.0,1785102726997.2961
51.0,1785102727020.766
