distance_cm,timestamp_ms
115.0,1785094057142.911
85.0,1785094057154.293
93.0,1785094057174.103
100.0,1785094057197.0142
109.0,1785094057220.8362
104.0,1785094057237.1897
95.0,1785094057261.069
97.0,1785094057277.402
92.0,1785094057301.311
94.0,1785094057317.7878
92.0,1785094057336.784
90.0,1785094057357.7202
87.0,1785094057381.814
82.0,1785094057397.959
79.0,1785094057421.6829
69.0,1785094057437.691
75.0,1785094057461.629
73.0,1785094057477.64
70.0,1785094057501.596
71.0,1785094057518.045
62.0,1785094057537.1553
57.0,1785094057559.3027
73.0,1785094057577.605
68.0,1785094057598.389
64.0,1785094057617.5571
58.0,1785094057641.291
60.0,1785094057657.554
55.0,1785094057681.476
60.0,1785094057697.8992
55.0,1785094057717.119
46.0,1785094057738.2158
46.0,1785094057757.375
46.0,1785094057781.24
47.0,1785094057797.691
45.0,1785094057821.523
49.0,1785094057837.8198
50.0,1785094057857.1729
43.0,1785094057878.151
36.0,1785094057897.5378
37.0,1785094057921.262
48.0,1785094057937.729
40.0,1785094057961.71
41.0,1785094057978.147
39.0,1785094057997.2588
40.0,1785094058018.028
46.0,1785094058037.188
44.0,1785094058058.087
44.0,1785094058077.3098
47.0,1785094058098.0742
44.0,1785094058117.234
44.0,1785094058138.266
43.0,1785094058157.403
43.0,1785094058181.55
36.0,1785094058197.661
36.0,1785094058221.475
31.0,1785094058237.929
34.0,1785094058257.126
39.0,1785094058278.065
29.0,1785094058297.2878
33.0,1785094058318.0217
35.0,1785094058337.166
33.0,1785094058358.446
33.0,1785094058377.5798
29.0,1785094058401.522
27.0,1785094058418.2598
12.0,1785094058437.4202
26.0,1785094058461.51
26.0,1785094058478.21
27.0,1785094058497.3608
31.0,1785094058521.602
31.0,1785094058541.027
36.0,1785094058558.0007
40.0,1785094058577.2979
39.0,1785094058601.513
41.0,1785094058618.424
41.0,1785094058637.5942
49.0,1785094058661.623
45.0,1785094058678.2961
39.0,1785094058697.52
50.0,1785094058721.5303
54.0,1785094058738.229
54.0,1785094058757.4248
69.0,1785094058781.525
60.0,1785094058798.077
64.0,1785094058817.2622
81.0,1785094058838.415
70.0,1785094058857.697
67.0,1785094058881.407
74.0,1785094058897.84
81.0,1785094058921.716
82.0,1785094058937.9932
76.0,1785094058957.313
76.0,1785094058978.0679
76.0,1785094058997.2869
79.0,1785094059018.3052
77.0,1785094059037.454
81.0,1785094059061.3242
81.0,1785094059077.7349
79.0,1785094059101.602
82.0,1785094059118.073
80.0,1785094059137.202
81.0,1785094059158.365
83.0,1785094059177.6797
84.0,1785094059198.4539
89.0,1785094059218.0732
86.0,1785094059241.229
89.0,1785094059257.503
91.0,1785094059281.3362
89.0,1785094059297.456
92.0,1785094059321.274
88.0,1785094059337.543
84.0,1785094059361.49
86.0,1785094059377.908
91.0,1785094059401.747
96.0,1785094059418.248
93.0,1785094059437.4038
95.0,1785094059458.481
93.0,1785094059477.706
86.0,1785094059501.266
86.0,1785094059517.7878
102.0,1785094059541.587
112.0,1785094059558.097
108.0,1785094059578.325
103.0,1785094059598.483
86.0,1785094059617.643
91.0,1785094059641.4248
109.0,1785094059658.108
109.0,1785094059677.355
108.0,1785094059701.3198
