distance_cm,timestamp_ms
118.0,1785100946032.619
126.0,1785100946033.1772
40.0,1785100946053.107
55.0,1785100946140.094
70.0,1785100946175.378
56.0,1785100946259.836
50.0,1785100946300.334
40.0,1785100946376.555
30.0,1785100946416.383
27.0,1785100946496.684
24.0,1785100946537.324
17.0,1785100946620.758
13.0,1785100946655.925
15.0,1785100946736.591
16.0,1785100946776.795
18.0,1785100946857.086
18.0,1785100946897.233
24.0,1785100946980.796
27.0,1785100947016.997
30.0,1785100947096.785
31.0,1785100947136.1611
25.0,1785100947220.458
22.0,1785100947257.356
26.0,1785100947276.8508
20.0,1785100947287.07
22.0,1785100947306.14
18.0,1785100947316.543
22.0,1785100947396.289
26.0,1785100947440.455
28.0,1785100947516.8582
24.0,1785100947576.4768
24.0,1785100947586.9902
27.0,1785100947606.3489
24.0,1785100947616.61
23.0,1785100947640.5708
25.0,1785100947646.8657
28.0,1785100947667.0889
27.0,1785100947680.221
22.0,1785100947696.273
26.0,1785100947706.923
25.0,1785100947726.332
26.0,1785100947736.4932
23.0,1785100947757.36
25.0,1785100947770.523
26.0,1785100947786.2651
24.0,1785100947796.978
21.0,1785100947820.6191
26.0,1785100947826.819
25.0,1785100947846.899
25.0,1785100947860.3179
26.0,1785100947876.116
27.0,1785100947886.793
26.0,1785100947907.219
27.0,1785100947920.57
30.0,1785100947936.142
27.0,1785100947947.024
28.0,1785100947965.903
24.0,1785100947976.1548
24.0,1785100947997.3472
29.0,1785100948010.614
26.0,1785100948026.4858
29.0,1785100948036.9812
30.0,1785100948056.2031
26.0,1785100948066.3162
26.0,1785100948090.158
28.0,1785100948096.1611
23.0,1785100948117.089
26.0,1785100948130.2532
25.0,1785100948146.2651
29.0,1785100948156.8372
26.0,1785100948180.5989
24.0,1785100948186.409
25.0,1785100948206.43
28.0,1785100948217.0088
26.0,1785100948236.08
30.0,1785100948295.9248
26.0,1785100948340.429
29.0,1785100948417.4058
27.0,1785100948456.656
30.0,1785100948536.0972
27.0,1785100948580.359
27.0,1785100948656.206
23.0,1785100948696.186
22.0,1785100948776.8691
27.0,1785100948816.4758
27.0,1785100948900.606
23.0,1785100948937.391
25.0,1785100949016.7732
26.0,1785100949056.172
22.0,1785100949140.6982
26.0,1785100949176.9368
23.0,1785100949256.17
22.0,1785100949296.0142
22.0,1785100949376.647
24.0,1785100949416.089
25.0,1785100949496.658
23.0,1785100949536.4758
23.0,1785100949570.557
26.0,1785100949586.0842
28.0,1785100949596.722
30.0,1785100949675.815
25.0,1785100949720.234
21.0,1785100949796.607
22.0,1785100950001.5051
25.0,1785100950002.342
26.0,1785100950003.1272
29.0,1785100950040.162
24.0,1785100950076.812
31.0,1785100950155.883
29.0,1785100950195.436
28.0,1785100950276.4148
22.0,1785100950316.164
24.0,1785100950400.4568
28.0,1785100950436.8489
27.0,1785100950515.5652
31.0,1785100950557.269
24.0,1785100950635.607
26.0,1785100950677.383
20.0,1785100950756.5151
22.0,1785100950800.2341
23.0,1785100950875.846
27.0,1785100950920.345
