distance_cm,timestamp_ms
46.0,1785110795810.7488
44.0,1785110795817.459
47.0,1785110795837.086
47.0,1785110795856.9321
47.0,1785110795879.5571
49.0,1785110795903.1912
51.0,1785110795918.9492
44.0,1785110795939.798
48.0,1785110795963.438
48.0,1785110795979.1191
45.0,1785110795999.9412
49.0,1785110796018.6792
51.0,1785110796039.31
45.0,1785110796060.3599
53.0,1785110796079.371
50.0,1785110796099.679
51.0,1785110796120.425
49.0,1785110796139.461
48.0,1785110796159.738
49.0,1785110796180.501
50.0,1785110796199.4949
49.0,1785110796219.8232
48.0,1785110796240.557
45.0,1785110796259.505
47.0,1785110796279.834
48.0,1785110796303.4612
48.0,1785110796319.18
50.0,1785110796340.2559
50.0,1785110796363.522
48.0,1785110796379.261
52.0,1785110796400.0408
49.0,1785110796423.6318
52.0,1785110796439.337
51.0,1785110796460.0352
49.0,1785110796483.708
49.0,1785110796499.397
48.0,1785110796520.134
51.0,1785110796543.759
47.0,1785110796559.431
50.0,1785110796580.251
50.0,1785110796603.8499
49.0,1785110796619.526
48.0,1785110796640.2969
48.0,1785110796659.242
53.0,1785110796679.5352
52.0,1785110796700.46
43.0,1785110796719.6191
53.0,1785110796740.0962
50.0,1785110796763.791
51.0,1785110796779.448
51.0,1785110796800.256
50.0,1785110796819.225
48.0,1785110796839.5671
50.0,1785110796860.263
46.0,1785110796879.2288
51.0,1785110796899.6438
49.0,1785110796920.187
49.0,1785110796939.4187
50.0,1785110796959.765
49.0,1785110796980.4858
51.0,1785110796999.5679
51.0,1785110797020.042
54.0,1785110797043.783
52.0,1785110797059.894
50.0,1785110797083.353
47.0,1785110797098.9949
53.0,1785110797120.0928
54.0,1785110797143.838
51.0,1785110797159.759
50.0,1785110797183.5442
48.0,1785110797199.352
54.0,1785110797220.0479
52.0,1785110797243.667
53.0,1785110797259.27
51.0,1785110797280.058
53.0,1785110797303.6448
53.0,1785110797319.3972
50.0,1785110797340.328
48.0,1785110797363.806
55.0,1785110797379.6348
53.0,1785110797400.495
53.0,1785110797419.442
51.0,1785110797439.734
52.0,1785110797460.5
48.0,1785110797479.532
52.0,1785110797499.887
52.0,1785110797520.654
54.0,1785110797539.618
52.0,1785110797559.9739
49.0,1785110797583.544
55.0,1785110797599.341
46.0,1785110797619.997
49.0,1785110797643.4119
52.0,1785110797659.2332
53.0,1785110797680.021
49.0,1785110797703.595
54.0,1785110797719.384
52.0,1785110797740.105
53.0,1785110797763.7651
46.0,1785110797779.5542
54.0,1785110797800.246
52.0,1785110797823.8062
53.0,1785110797839.478
49.0,1785110797860.212
54.0,1785110797879.262
50.0,1785110797899.659
52.0,1785110797920.311
47.0,1785110797939.421
55.0,1785110797959.722
53.0,1785110797980.5398
51.0,1785110797999.5278
52.0,1785110798019.808
50.0,1785110798040.53
51.0,1785110798059.49
49.0,1785110798079.849
54.0,1785110798100.7021
56.0,1785110798119.585
49.0,1785110798140.018
51.0,1785110798163.606
52.0,1785110798179.501
54.0,1785110798200.479
54.0,1785110798219.5862
57.0,1785110798240.0989
52.0,1785110798263.8
54.0,1785110798279.5762
54.0,1785110798300.559
50.0,1785110798319.624
48.0,1785110798340.102
51.0,1785110798363.721
51.0,1785110798379.3809
56.0,1785110798400.201
46.0,1785110798423.731
51.0,1785110798439.425
52.0,1785110798460.1548
47.0,1785110798483.848
53.0,1785110798499.7383
51.0,1785110798520.568
51.0,1785110798539.5781
48.0,1785110798560.1147
48.0,1785110798583.945
49.0,1785110798599.728
48.0,1785110798620.4832
52.0,1785110798639.54
51.0,1785110798659.864
53.0,1785110798680.332
52.0,1785110798699.3389
48.0,1785110798719.8909
48.0,1785110798743.532
54.0,1785110798759.1592
51.0,1785110798779.9722
