distance_cm,timestamp_ms
46.0,1785110602220.0989
45.0,1785110602230.134
42.0,1785110602250.0742
46.0,1785110602270.045
46.0,1785110602296.2073
48.0,1785110602319.926
44.0,1785110602335.9
44.0,1785110602356.858
50.0,1785110602370.112
51.0,1785110602396.5352
48.0,1785110602415.596
52.0,1785110602436.445
47.0,1785110602460.302
51.0,1785110602476.346
51.0,1785110602497.412
51.0,1785110602516.7593
51.0,1785110602537.2478
48.0,1785110602556.4822
46.0,1785110602577.635
46.0,1785110602596.65
46.0,1785110602620.2822
44.0,1785110602636.56
46.0,1785110602660.682
50.0,1785110602677.084
42.0,1785110602696.367
68.0,1785110602720.0562
51.0,1785110602737.0652
52.0,1785110602756.331
57.0,1785110602780.166
58.0,1785110602796.911
58.0,1785110602816.161
54.0,1785110602840.0881
60.0,1785110602856.8462
67.0,1785110602875.556
61.0,1785110602900.411
63.0,1785110602916.638
51.0,1785110602936.2039
59.0,1785110602957.543
63.0,1785110602970.8792
55.0,1785110603000.496
58.0,1785110603017.262
61.0,1785110603036.522
52.0,1785110603060.2979
54.0,1785110603077.0527
60.0,1785110603096.284
52.0,1785110603120.226
55.0,1785110603136.8608
52.0,1785110603156.1082
55.0,1785110603180.0188
55.0,1785110603196.7627
54.0,1785110603216.48
55.0,1785110603237.1663
57.0,1785110603251.292
58.0,1785110603280.266
54.0,1785110603296.76
55.0,1785110603316.313
50.0,1785110603337.475
49.0,1785110603350.92
53.0,1785110603380.6519
54.0,1785110603397.533
61.0,1785110603410.819
51.0,1785110603440.5608
48.0,1785110603457.145
59.0,1785110603476.4312
40.0,1785110603500.5232
52.0,1785110603517.215
44.0,1785110603536.629
43.0,1785110603560.3079
60.0,1785110603576.977
47.0,1785110603596.262
52.0,1785110603620.2642
34.0,1785110603636.9238
53.0,1785110603656.165
72.0,1785110603680.041
15.0,1785110603696.668
54.0,1785110603720.68
68.0,1785110603737.375
56.0,1785110603750.899
56.0,1785110603780.62
60.0,1785110603798.058
52.0,1785110603817.517
53.0,1785110603840.241
53.0,1785110603856.514
49.0,1785110603880.569
44.0,1785110603897.1409
43.0,1785110603916.579
55.0,1785110603940.395
58.0,1785110603956.722
58.0,1785110603980.531
52.0,1785110603996.808
64.0,1785110604020.7578
52.0,1785110604037.005
52.0,1785110604056.231
67.0,1785110604077.296
45.0,1785110604090.7258
70.0,1785110604120.6611
65.0,1785110604137.495
66.0,1785110604150.84
68.0,1785110604180.4102
63.0,1785110604197.344
66.0,1785110604217.25
60.0,1785110604236.173
54.0,1785110604260.169
63.0,1785110604277.094
56.0,1785110604296.407
67.0,1785110604320.553
58.0,1785110604337.2668
62.0,1785110604350.831
62.0,1785110604380.428
62.0,1785110604397.281
60.0,1785110604417.0308
61.0,1785110604440.1072
69.0,1785110604457.07
58.0,1785110604476.3699
63.0,1785110604500.652
55.0,1785110604517.4202
57.0,1785110604536.202
55.0,1785110604560.511
56.0,1785110604577.149
56.0,1785110604596.4421
56.0,1785110604620.242
55.0,1785110604636.6821
60.0,1785110604660.4988
57.0,1785110604676.9678
53.0,1785110604696.253
56.0,1785110604717.1772
54.0,1785110604730.719
54.0,1785110604757.374
61.0,1785110604770.821
62.0,1785110604800.3662
65.0,1785110604816.9111
61.0,1785110604836.222
58.0,1785110604860.032
56.0,1785110604876.425
54.0,1785110604900.815
57.0,1785110604916.807
57.0,1785110604936.434
54.0,1785110604957.4458
55.0,1785110604970.8481
61.0,1785110604996.0498
57.0,1785110605020.701
57.0,1785110605037.2268
55.0,1785110605051.511
60.0,1785110605080.811
61.0,1785110605100.633
58.0,1785110605117.443
57.0,1785110605130.7322
59.0,1785110605160.611
61.0,1785110605180.011
54.0,1785110605197.038
