distance_cm,timestamp_ms
62.0,1785109654523.993
81.0,1785109654529.2869
89.0,1785109654549.34
87.0,1785109654573.9783
87.0,1785109654590.155
81.0,1785109654614.1628
75.0,1785109654630.336
79.0,1785109654654.0781
24.0,1785109654694.499
54.0,1785109654711.2131
47.0,1785109654730.696
44.0,1785109654754.004
37.0,1785109654770.998
36.0,1785109654795.895
42.0,1785109654811.463
45.0,1785109654830.789
46.0,1785109654854.6282
38.0,1785109654871.424
41.0,1785109654890.354
33.0,1785109654914.3438
37.0,1785109654930.8281
31.0,1785109654950.361
31.0,1785109654971.725
39.0,1785109654990.962
42.0,1785109655014.8179
36.0,1785109655031.241
36.0,1785109655050.7322
37.0,1785109655072.122
35.0,1785109655090.988
23.0,1785109655115.1948
38.0,1785109655134.3733
34.0,1785109655151.1118
32.0,1785109655170.6792
25.0,1785109655191.722
25.0,1785109655210.749
23.0,1785109655234.835
25.0,1785109655251.452
31.0,1785109655270.898
31.0,1785109655294.812
32.0,1785109655311.533
37.0,1785109655330.841
43.0,1785109655355.1611
41.0,1785109655374.5862
45.0,1785109655391.224
32.0,1785109655411.2861
29.0,1785109655434.955
37.0,1785109655454.409
20.0,1785109655470.83
11.0,1785109655490.6082
28.0,1785109655514.4902
27.0,1785109655531.24
28.0,1785109655550.6648
26.0,1785109655571.558
17.0,1785109655590.843
21.0,1785109655611.1602
20.0,1785109655634.877
25.0,1785109655651.098
27.0,1785109655670.54
27.0,1785109655692.58
32.0,1785109655710.779
28.0,1785109655731.5042
26.0,1785109655750.3948
28.0,1785109655771.6338
26.0,1785109655790.8289
25.0,1785109655811.647
27.0,1785109655830.848
31.0,1785109655854.271
29.0,1785109655870.431
26.0,1785109655891.5132
28.0,1785109655910.403
26.0,1785109655931.54
27.0,1785109655950.808
30.0,1785109655971.725
37.0,1785109655990.8599
42.0,1785109656011.685
42.0,1785109656030.973
48.0,1785109656051.6282
59.0,1785109656070.997
62.0,1785109656091.636
69.0,1785109656110.957
73.0,1785109656131.452
71.0,1785109656150.6892
68.0,1785109656171.724
69.0,1785109656190.893
64.0,1785109656214.653
95.0,1785109656230.8918
68.0,1785109656254.864
65.0,1785109656271.61
57.0,1785109656291.736
49.0,1785109656314.473
51.0,1785109656330.752
38.0,1785109656354.785
35.0,1785109656370.771
25.0,1785109656394.654
18.0,1785109656411.0798
13.0,1785109656434.9282
16.0,1785109656451.16
15.0,1785109656470.651
18.0,1785109656491.2588
21.0,1785109656510.7122
30.0,1785109656531.611
18.0,1785109656550.866
14.0,1785109656574.7312
23.0,1785109656591.0962
24.0,1785109656614.937
27.0,1785109656631.369
18.0,1785109656650.746
21.0,1785109656674.545
21.0,1785109656690.3838
24.0,1785109656714.5789
24.0,1785109656731.0798
24.0,1785109656750.4539
24.0,1785109656771.442
30.0,1785109656791.095
40.0,1785109656811.746
46.0,1785109656831.0808
49.0,1785109656850.609
52.0,1785109656874.732
52.0,1785109656891.648
49.0,1785109656910.587
44.0,1785109656935.028
39.0,1785109656954.81
39.0,1785109656974.456
26.0,1785109656990.962
31.0,1785109657010.075
27.0,1785109657034.128
27.0,1785109657051.2969
27.0,1785109657070.741
25.0,1785109657091.604
25.0,1785109657110.697
26.0,1785109657131.753
22.0,1785109657151.01
23.0,1785109657174.7898
17.0,1785109657191.1948
23.0,1785109657214.9429
24.0,1785109657231.378
17.0,1785109657250.7788
24.0,1785109657271.53
26.0,1785109657290.7012
29.0,1785109657311.246
29.0,1785109657330.773
33.0,1785109657351.585
29.0,1785109657370.8743
32.0,1785109657391.4912
43.0,1785109657410.6472
41.0,1785109657431.1528
45.0,1785109657455.064
67.0,1785109657471.104
60.0,1785109657494.644
64.0,1785109657510.5742
