distance_cm,timestamp_ms
73.0,1785098529388.245
72.0,1785098529388.9028
77.0,1785098529406.3772
74.0,1785098529426.1838
71.0,1785098529448.415
69.0,1785098529475.3652
74.0,1785098529488.602
62.0,1785098529518.207
71.0,1785098529534.7068
66.0,1785098529558.604
67.0,1785098529575.199
69.0,1785098529588.458
61.0,1785098529615.7087
54.0,1785098529628.98
51.0,1785098529658.716
48.0,1785098529675.164
48.0,1785098529698.987
36.0,1785098529715.373
52.0,1785098529728.665
33.0,1785098529755.6228
17.0,1785098529768.665
55.0,1785098529795.84
46.0,1785098529809.064
44.0,1785098529838.882
43.0,1785098529855.4539
42.0,1785098529868.566
44.0,1785098529898.732
47.0,1785098529915.42
47.0,1785098529929.025
39.0,1785098529959.312
50.0,1785098529978.6228
34.0,1785098529995.319
40.0,1785098530008.44
31.0,1785098530039.366
26.0,1785098530056.803
29.0,1785098530071.851
29.0,1785098530099.025
35.0,1785098530117.28
39.0,1785098530134.563
46.0,1785098530155.957
44.0,1785098530169.0
59.0,1785098530188.438
44.0,1785098530218.8909
52.0,1785098530238.5017
46.0,1785098530255.3433
58.0,1785098530279.1272
44.0,1785098530295.421
48.0,1785098530308.7249
51.0,1785098530338.555
39.0,1785098530355.745
34.0,1785098530368.783
33.0,1785098530398.932
28.0,1785098530416.029
2.0,1785098530429.181
23.0,1785098530448.639
29.0,1785098530476.022
27.0,1785098530489.366
30.0,1785098530519.047
31.0,1785098530535.414
41.0,1785098530548.7083
50.0,1785098530575.829
50.0,1785098530589.139
42.0,1785098530618.561
50.0,1785098530635.535
43.0,1785098530659.658
36.0,1785098530675.357
34.0,1785098530699.1812
31.0,1785098530715.5142
29.0,1785098530728.841
15.0,1785098530758.84
14.0,1785098530775.473
22.0,1785098530788.9468
23.0,1785098530818.654
24.0,1785098530835.399
29.0,1785098530848.647
30.0,1785098530878.6501
37.0,1785098530895.168
40.0,1785098530918.973
35.0,1785098530935.342
32.0,1785098530959.277
28.0,1785098530975.895
22.0,1785098530989.255
16.0,1785098531008.5781
22.0,1785098531038.906
14.0,1785098531055.804
20.0,1785098531068.943
24.0,1785098531098.9338
31.0,1785098531115.6401
33.0,1785098531128.8901
41.0,1785098531155.657
45.0,1785098531168.7832
46.0,1785098531195.6392
47.0,1785098531209.2131
44.0,1785098531235.918
43.0,1785098531249.156
35.0,1785098531278.6611
35.0,1785098531295.3533
30.0,1785098531308.596
16.0,1785098531335.888
18.0,1785098531349.122
21.0,1785098531368.616
27.0,1785098531398.693
30.0,1785098531415.67
40.0,1785098531428.8718
39.0,1785098531458.9382
36.0,1785098531475.789
44.0,1785098531489.0083
44.0,1785098531515.868
40.0,1785098531529.2202
41.0,1785098531559.193
28.0,1785098531578.531
34.0,1785098531595.5452
31.0,1785098531608.804
24.0,1785098531639.071
26.0,1785098531655.842
23.0,1785098531669.054
24.0,1785098531699.022
26.0,1785098531715.2908
32.0,1785098531739.1309
44.0,1785098531755.635
40.0,1785098531768.778
41.0,1785098531795.709
45.0,1785098531808.9468
40.0,1785098531835.713
39.0,1785098531849.045
35.0,1785098531878.793
31.0,1785098531895.419
29.0,1785098531908.633
21.0,1785098531938.6392
23.0,1785098531955.599
31.0,1785098531968.6611
34.0,1785098531998.7222
36.0,1785098532015.563
39.0,1785098532028.872
44.0,1785098532058.958
46.0,1785098532075.356
33.0,1785098532088.775
31.0,1785098532115.668
27.0,1785098532128.9312
39.0,1785098532159.3079
34.0,1785098532178.598
30.0,1785098532195.604
22.0,1785098532208.8408
33.0,1785098532239.025
17.0,1785098532258.45
9.0,1785098532275.1428
24.0,1785098532299.0479
35.0,1785098532315.449
35.0,1785098532328.7139
41.0,1785098532355.5798
39.0,1785098532370.176
39.0,1785098532398.7148
43.0,1785098532415.072
38.0,1785098532439.018
35.0,1785098532455.5571
27.0,1785098532468.791
24.0,1785098532498.7131
18.0,1785098532515.3699
17.0,1785098532528.4832
25.0,1785098532559.809
27.0,1785098532576.4329
32.0,1785098532594.5642
36.0,1785098532619.134
40.0,1785098532638.478
39.0,1785098532655.447
21.0,1785098532679.1968
33.0,1785098532695.6501
43.0,1785098532710.677
35.0,1785098532739.187
26.0,1785098532750.7751
20.0,1785098532775.478
28.0,1785098532788.857
18.0,1785098532818.576
17.0,1785098532835.895
23.0,1785098532849.207
24.0,1785098532879.241
30.0,1785098532895.6318
33.0,1785098532908.9092
40.0,1785098532935.9202
40.0,1785098532948.894
24.0,1785098532979.0818
26.0,1785098532995.42
46.0,1785098533008.711
39.0,1785098533035.879
34.0,1785098533049.096
41.0,1785098533079.114
38.0,1785098533095.677
24.0,1785098533108.927
21.0,1785098533139.269
24.0,1785098533156.137
30.0,1785098533169.181
33.0,1785098533188.591
35.0,1785098533210.37
31.0,1785098533235.12
40.0,1785098533248.408
36.0,1785098533275.86
14.0,1785098533289.086
34.0,1785098533318.745
20.0,1785098533335.7087
22.0,1785098533349.257
23.0,1785098533368.5288
25.0,1785098533398.7551
22.0,1785098533415.715
25.0,1785098533428.976
58.0,1785098533459.0552
39.0,1785098533475.6648
44.0,1785098533489.0361
46.0,1785098533515.899
43.0,1785098533529.16
40.0,1785098533560.252
45.0,1785098533575.325
41.0,1785098533588.594
39.0,1785098533618.371
39.0,1785098533634.983
28.0,1785098533658.9902
31.0,1785098533675.452
24.0,1785098533688.78
24.0,1785098533718.883
25.0,1785098533738.58
25.0,1785098533755.326
34.0,1785098533768.5198
30.0,1785098533798.809
34.0,1785098533818.513
32.0,1785098533835.1482
46.0,1785098533848.5352
48.0,1785098533875.639
38.0,1785098533888.948
33.0,1785098533918.253
34.0,1785098533935.5588
32.0,1785098533948.8262
32.0,1785098533979.2122
28.0,1785098533998.824
21.0,1785098534016.0352
19.0,1785098534029.346
23.0,1785098534048.855
31.0,1785098534079.2808
40.0,1785098534098.5752
45.0,1785098534115.314
43.0,1785098534139.2979
54.0,1785098534156.049
48.0,1785098534169.261
48.0,1785098534199.189
44.0,1785098534215.728
50.0,1785098534229.033
43.0,1785098534258.6602
37.0,1785098534275.403
31.0,1785098534288.626
20.0,1785098534318.5862
19.0,1785098534335.5022
13.0,1785098534348.738
19.0,1785098534379.052
