distance_cm,timestamp_ms
73.0,1785091805591.642
61.0,1785091805595.4922
74.0,1785091805615.0488
64.0,1785091805634.8218
71.0,1785091805661.574
74.0,1785091805676.99
70.0,1785091805697.8208
67.0,1785091805721.431
69.0,1785091805737.1929
72.0,1785091805757.8262
75.0,1785091805778.432
82.0,1785091805796.991
88.0,1785091805817.543
84.0,1785091805838.201
84.0,1785091805858.918
82.0,1785091805877.6582
82.0,1785091805897.898
86.0,1785091805918.4119
82.0,1785091805941.9573
82.0,1785091805957.694
79.0,1785091805978.413
78.0,1785091806002.073
55.0,1785091806018.192
68.0,1785091806044.564
64.0,1785091806058.6628
62.0,1785091806077.782
62.0,1785091806101.5269
68.0,1785091806117.7822
68.0,1785091806141.587
60.0,1785091806157.7751
61.0,1785091806181.5942
68.0,1785091806197.59
60.0,1785091806221.7058
53.0,1785091806238.064
61.0,1785091806262.1162
63.0,1785091806278.355
58.0,1785091806297.488
62.0,1785091806318.23
47.0,1785091806342.08
57.0,1785091806358.113
59.0,1785091806382.078
55.0,1785091806398.31
55.0,1785091806422.0437
56.0,1785091806438.632
63.0,1785091806458.045
58.0,1785091806478.871
64.0,1785091806498.0469
64.0,1785091806521.802
56.0,1785091806538.1628
61.0,1785091806561.9897
61.0,1785091806578.468
62.0,1785091806597.624
60.0,1785091806618.8008
43.0,1785091806637.959
32.0,1785091806661.7869
61.0,1785091806678.215
48.0,1785091806702.0427
50.0,1785091806718.529
50.0,1785091806737.674
39.0,1785091806758.677
32.0,1785091806777.8052
40.0,1785091806801.4773
37.0,1785091806817.9277
36.0,1785091806842.012
35.0,1785091806858.7598
31.0,1785091806877.9167
36.0,1785091806901.897
33.0,1785091806918.572
32.0,1785091806937.792
42.0,1785091806961.7642
37.0,1785091806978.511
25.0,1785091806997.563
32.0,1785091807018.7322
30.0,1785091807037.976
39.0,1785091807061.698
35.0,1785091807078.161
38.0,1785091807102.108
40.0,1785091807118.508
48.0,1785091807137.6882
51.0,1785091807158.866
54.0,1785091807178.065
63.0,1785091807201.833
61.0,1785091807218.088
68.0,1785091807241.907
75.0,1785091807258.121
74.0,1785091807282.092
79.0,1785091807298.06
85.0,1785091807321.7988
84.0,1785091807338.024
80.0,1785091807361.81
90.0,1785091807377.842
87.0,1785091807398.7761
92.0,1785091807417.8938
92.0,1785091807438.8079
95.0,1785091807458.092
96.0,1785091807478.783
98.0,1785091807497.918
101.0,1785091807518.6711
105.0,1785091807537.7368
105.0,1785091807558.4377
107.0,1785091807577.796
111.0,1785091807598.613
107.0,1785091807617.876
108.0,1785091807638.613
117.0,1785091807658.083
122.0,1785091807678.6401
126.0,1785091807697.802
117.0,1785091807718.8743
123.0,1785091807737.97
127.0,1785091807761.816
121.0,1785091807778.474
127.0,1785091807797.698
127.0,1785091807821.7559
127.0,1785091807838.408
120.0,1785091807857.7139
134.0,1785091807881.654
122.0,1785091807898.3481
133.0,1785091807917.519
136.0,1785091807941.564
137.0,1785091807958.343
133.0,1785091807982.139
142.0,1785091807998.585
137.0,1785091808017.751
145.0,1785091808042.4631
142.0,1785091808059.173
143.0,1785091808081.992
118.0,1785091808098.254
137.0,1785091808122.041
130.0,1785091808138.4421
126.0,1785091808157.81
128.0,1785091808178.4539
131.0,1785091808197.561
122.0,1785091808221.8398
157.0,1785091808238.313
111.0,1785091808257.674
109.0,1785091808281.7349
123.0,1785091808298.785
145.0,1785091808317.881
156.0,1785091808342.022
109.0,1785091808361.028
90.0,1785091808378.1628
78.0,1785091808397.549
103.0,1785091808418.7852
98.0,1785091808437.957
93.0,1785091808461.731
85.0,1785091808478.0889
74.0,1785091808501.902
95.0,1785091808518.261
87.0,1785091808537.461
90.0,1785091808558.5479
87.0,1785091808577.718
80.0,1785091808598.7
74.0,1785091808617.824
65.0,1785091808638.808
62.0,1785091808658.0142
61.0,1785091808678.7231
66.0,1785091808697.885
57.0,1785091808718.6758
56.0,1785091808737.8582
54.0,1785091808761.6738
54.0,1785091808778.065
50.0,1785091808801.844
54.0,1785091808818.033
48.0,1785091808841.969
53.0,1785091808858.167
50.0,1785091808881.878
51.0,1785091808898.093
45.0,1785091808921.9302
53.0,1785091808938.069
52.0,1785091808961.91
48.0,1785091808977.8572
52.0,1785091808998.813
50.0,1785091809017.8982
48.0,1785091809038.472
45.0,1785091809057.56
44.0,1785091809078.248
46.0,1785091809102.041
44.0,1785091809118.262
49.0,1785091809142.072
46.0,1785091809158.269
49.0,1785091809181.849
46.0,1785091809197.742
42.0,1785091809218.693
48.0,1785091809237.698
44.0,1785091809258.2368
50.0,1785091809281.906
45.0,1785091809297.614
43.0,1785091809318.263
49.0,1785091809341.9158
45.0,1785091809357.6892
46.0,1785091809378.2861
43.0,1785091809401.913
44.0,1785091809417.561
46.0,1785091809438.355
49.0,1785091809462.068
50.0,1785091809477.657
50.0,1785091809498.424
43.0,1785091809522.072
43.0,1785091809537.718
44.0,1785091809558.388
46.0,1785091809581.8508
49.0,1785091809597.2878
46.0,1785091809617.866
46.0,1785091809638.4531
44.0,1785091809662.0522
42.0,1785091809677.414
47.0,1785091809698.019
45.0,1785091809718.554
46.0,1785091809737.3708
43.0,1785091809757.979
42.0,1785091809778.598
43.0,1785091809797.482
46.0,1785091809817.8801
40.0,1785091809838.6482
44.0,1785091809857.878
45.0,1785091809878.035
38.0,1785091809898.7122
44.0,1785091809917.5999
42.0,1785091809938.015
41.0,1785091809958.7542
46.0,1785091809977.691
43.0,1785091809998.1
45.0,1785091810018.821
44.0,1785091810037.755
45.0,1785091810058.2468
46.0,1785091810081.79
47.0,1785091810097.478
50.0,1785091810118.2239
46.0,1785091810141.8428
46.0,1785091810157.3232
46.0,1785091810177.917
47.0,1785091810198.2168
41.0,1785091810222.0327
42.0,1785091810237.6802
48.0,1785091810258.561
47.0,1785091810282.092
49.0,1785091810297.676
46.0,1785091810318.2761
48.0,1785091810338.815
47.0,1785091810357.7002
49.0,1785091810377.789
45.0,1785091810398.372
47.0,1785091810421.917
48.0,1785091810437.334
54.0,1785091810458.017
52.0,1785091810478.533
53.0,1785091810502.0427
53.0,1785091810517.5513
55.0,1785091810538.077
50.0,1785091810558.762
