distance_cm,timestamp_ms
44.0,1785103577544.439
47.0,1785103577548.5671
50.0,1785103577568.207
46.0,1785103577588.254
48.0,1785103577611.551
51.0,1785103577630.2102
57.0,1785103577650.866
55.0,1785103577671.6667
54.0,1785103577690.387
51.0,1785103577711.041
61.0,1785103577734.7478
57.0,1785103577750.478
55.0,1785103577771.6213
57.0,1785103577790.644
51.0,1785103577811.369
57.0,1785103577835.124
57.0,1785103577851.328
60.0,1785103577875.1428
51.0,1785103577891.231
49.0,1785103577914.962
57.0,1785103577930.727
55.0,1785103577951.362
55.0,1785103577975.0928
57.0,1785103577990.782
57.0,1785103578011.574
59.0,1785103578035.168
58.0,1785103578050.82
56.0,1785103578071.538
57.0,1785103578095.338
59.0,1785103578111.216
59.0,1785103578134.814
55.0,1785103578150.5488
57.0,1785103578171.386
59.0,1785103578195.055
55.0,1785103578210.889
57.0,1785103578231.783
55.0,1785103578250.835
55.0,1785103578271.487
62.0,1785103578295.247
58.0,1785103578310.729
60.0,1785103578331.5042
58.0,1785103578355.144
52.0,1785103578370.791
55.0,1785103578391.7383
50.0,1785103578415.2031
57.0,1785103578430.8547
56.0,1785103578451.617
57.0,1785103578470.513
52.0,1785103578490.998
56.0,1785103578511.678
60.0,1785103578530.5989
55.0,1785103578550.977
57.0,1785103578571.7493
57.0,1785103578590.6501
62.0,1785103578611.14
60.0,1785103578631.847
62.0,1785103578650.763
67.0,1785103578671.1318
64.0,1785103578691.8809
59.0,1785103578710.7761
78.0,1785103578731.0679
62.0,1785103578751.9512
73.0,1785103578770.877
67.0,1785103578791.1128
64.0,1785103578814.865
68.0,1785103578830.577
65.0,1785103578851.3323
53.0,1785103578874.9648
65.0,1785103578890.6482
54.0,1785103578911.4502
59.0,1785103578935.036
61.0,1785103578950.737
63.0,1785103578971.4749
48.0,1785103578995.179
46.0,1785103579010.866
41.0,1785103579031.5452
39.0,1785103579055.1492
32.0,1785103579070.838
35.0,1785103579091.732
37.0,1785103579110.2122
37.0,1785103579130.9812
39.0,1785103579151.7483
41.0,1785103579170.5881
42.0,1785103579191.1921
47.0,1785103579211.848
42.0,1785103579230.709
45.0,1785103579251.076
44.0,1785103579271.859
45.0,1785103579290.771
43.0,1785103579311.2432
42.0,1785103579331.928
42.0,1785103579350.828
50.0,1785103579371.209
49.0,1785103579392.069
48.0,1785103579411.014
43.0,1785103579431.308
52.0,1785103579454.967
42.0,1785103579470.592
46.0,1785103579491.596
48.0,1785103579515.027
49.0,1785103579530.74
45.0,1785103579551.463
49.0,1785103579575.209
39.0,1785103579590.802
48.0,1785103579611.5808
45.0,1785103579635.197
49.0,1785103579650.798
45.0,1785103579671.577
47.0,1785103579695.3062
46.0,1785103579710.898
47.0,1785103579731.6511
42.0,1785103579750.535
47.0,1785103579770.94
41.0,1785103579791.7112
39.0,1785103579810.698
43.0,1785103579831.051
36.0,1785103579851.825
44.0,1785103579870.6711
48.0,1785103579891.126
46.0,1785103579912.0022
45.0,1785103579930.827
46.0,1785103579951.155
48.0,1785103579971.916
47.0,1785103579990.857
47.0,1785103580011.2979
42.0,1785103580032.0151
47.0,1785103580050.887
49.0,1785103580071.303
46.0,1785103580095.0808
45.0,1785103580110.487
46.0,1785103580131.9028
47.0,1785103580155.0322
50.0,1785103580170.6738
49.0,1785103580191.519
46.0,1785103580215.101
46.0,1785103580230.7898
49.0,1785103580251.4932
45.0,1785103580275.299
46.0,1785103580290.851
47.0,1785103580311.631
47.0,1785103580335.22
51.0,1785103580350.892
50.0,1785103580371.671
45.0,1785103580390.6062
45.0,1785103580410.985
39.0,1785103580431.742
47.0,1785103580450.645
40.0,1785103580470.997
43.0,1785103580491.9119
43.0,1785103580510.746
46.0,1785103580531.178
50.0,1785103580551.89
46.0,1785103580570.8108
45.0,1785103580591.266
38.0,1785103580611.928
49.0,1785103580630.802
46.0,1785103580651.0542
42.0,1785103580671.697
51.0,1785103580690.578
49.0,1785103580711.2498
48.0,1785103580734.9163
46.0,1785103580750.645
45.0,1785103580771.0872
43.0,1785103580794.878
47.0,1785103580810.614
46.0,1785103580831.1958
49.0,1785103580854.79
49.0,1785103580870.479
46.0,1785103580891.659
45.0,1785103580915.169
44.0,1785103580931.415
44.0,1785103580954.9492
46.0,1785103580970.846
39.0,1785103580991.951
47.0,1785103581010.962
42.0,1785103581031.439
48.0,1785103581055.229
41.0,1785103581071.079
37.0,1785103581092.191
26.0,1785103581110.793
50.0,1785103581131.641
61.0,1785103581150.885
54.0,1785103581172.047
58.0,1785103581191.3918
51.0,1785103581214.9702
45.0,1785103581231.4849
46.0,1785103581250.638
46.0,1785103581271.815
45.0,1785103581291.0103
36.0,1785103581311.929
44.0,1785103581331.039
22.0,1785103581352.074
16.0,1785103581371.247
27.0,1785103581395.4602
22.0,1785103581412.1333
18.0,1785103581430.818
17.0,1785103581455.2551
29.0,1785103581471.9539
30.0,1785103581491.17
25.0,1785103581515.167
31.0,1785103581531.882
